Timestamp,ChargingPointID,Location,Status,ChargingSpeed,EnergyDelivered,ChargingTime,Cost,ConnectorType,Network,UserID,VehicleType
2023-12-28 14:00:00,CP003,Highway,Available,150,28.716659064180988,59,15.85276171243844,CHAdeMO,Network C,User789,Chevy Bolt
2023-06-12 23:00:00,CP082,Suburb,Out of Service,22,32.780005739202224,54,26.00316931041635,CHAdeMO,Network B,User012,Tesla Model 3
2023-10-15 14:00:00,CP034,Airport,Out of Service,22,37.23148243866118,65,11.584618428217933,CHAdeMO,Network B,User456,Chevy Bolt
2023-03-12 07:00:00,CP077,Suburb,Occupied,50,31.84937651617135,67,5.769625770563245,Type 2,Network B,User345,BMW i3
2023-04-11 23:00:00,CP071,Highway,Out of Service,22,2.2759282851612106,43,27.513191389122852,CCS,Network B,User012,BMW i3
2023-09-30 23:00:00,CP091,Highway,Out of Service,22,32.08799091790722,0,8.742667768208845,Type 2,Network B,User789,Chevy Bolt
2023-11-25 13:00:00,CP081,Downtown,Occupied,50,15.725607610386161,78,23.895259539239568,CCS,Network B,User123,Chevy Bolt
2023-07-27 17:00:00,CP066,Airport,Occupied,22,4.746043515446519,30,6.582360365581863,Type 2,Network A,User123,Chevy Bolt
2023-12-17 20:00:00,CP075,Airport,Occupied,150,33.85240236979736,40,15.90454031984091,CCS,Network B,User456,Nissan Leaf
2023-05-16 06:00:00,CP060,Airport,Available,22,20.548596449825034,105,3.44881718819794,Type 2,Network B,User012,Nissan Leaf
2023-05-29 08:00:00,CP011,Highway,Occupied,50,22.876185683006504,9,13.223669428047641,CCS,Network A,User456,Nissan Leaf
2023-08-21 09:00:00,CP027,Highway,Out of Service,50,37.278885584081145,63,14.319313940345708,CHAdeMO,Network A,User123,Chevy Bolt
2023-01-15 23:00:00,CP012,Airport,Available,22,12.830855321136598,23,5.728325432819791,Type 2,Network C,User456,Nissan Leaf
2023-11-18 21:00:00,CP073,Airport,Occupied,150,3.620531214254874,96,13.254566095521035,CHAdeMO,Network A,User123,Tesla Model 3
2023-01-07 17:00:00,CP080,Downtown,Occupied,22,22.926770198599428,97,21.593813813854332,Type 2,Network A,User456,Chevy Bolt
2023-02-08 18:00:00,CP094,Highway,Occupied,150,15.356405502034354,14,0.6701277312159037,CHAdeMO,Network B,User345,Nissan Leaf
2023-09-08 18:00:00,CP035,Downtown,Occupied,50,48.52960570139269,25,27.449152813780234,CCS,Network A,User345,Chevy Bolt
2023-06-14 05:00:00,CP069,Suburb,Out of Service,150,17.349926061667283,15,21.480304659472484,CCS,Network C,User789,BMW i3
2023-04-08 06:00:00,CP001,Highway,Out of Service,22,10.254550875964952,47,0.6911712599822695,CCS,Network C,User456,Nissan Leaf
2023-03-30 02:00:00,CP004,Airport,Occupied,22,17.45543977813309,45,5.40976664022509,Type 2,Network C,User012,Chevy Bolt
2023-04-20 12:00:00,CP068,Downtown,Available,22,5.507838278755339,106,15.473141329487547,CCS,Network B,User789,Nissan Leaf
2023-11-24 00:00:00,CP099,Airport,Available,22,5.545517747212919,18,13.775326579424421,CHAdeMO,Network B,User789,BMW i3
2023-07-08 13:00:00,CP074,Airport,Occupied,150,6.785344396020116,55,15.003767020663016,CHAdeMO,Network C,User123,Chevy Bolt
2023-05-12 22:00:00,CP019,Suburb,Occupied,150,28.8021079147877,10,2.4852683940273357,CHAdeMO,Network C,User012,Chevy Bolt
2023-10-05 15:00:00,CP065,Downtown,Available,22,42.04686129851512,41,24.48629886769206,CHAdeMO,Network A,User789,Chevy Bolt
2023-12-06 08:00:00,CP090,Highway,Occupied,50,39.692338083065806,50,17.92853595305937,Type 2,Network A,User456,BMW i3
2023-09-15 05:00:00,CP060,Downtown,Available,22,5.030249923561492,5,6.971728328787359,CHAdeMO,Network C,User456,Tesla Model 3
2023-04-02 04:00:00,CP059,Airport,Out of Service,22,25.671169723438975,52,2.862162875632752,CCS,Network A,User123,Nissan Leaf
2023-09-12 04:00:00,CP099,Downtown,Out of Service,22,33.01354646906351,115,8.025819381474339,Type 2,Network C,User012,Nissan Leaf
2023-05-10 16:00:00,CP077,Suburb,Occupied,50,11.49639486760346,9,20.360256638469387,CCS,Network C,User123,Chevy Bolt
2023-07-28 16:00:00,CP067,Airport,Available,50,46.078901292551215,69,28.24971487320501,Type 2,Network A,User789,Nissan Leaf
2023-01-11 11:00:00,CP035,Suburb,Available,22,3.4942810207217345,87,2.605795690092304,CHAdeMO,Network C,User123,Tesla Model 3
2023-05-12 11:00:00,CP054,Highway,Occupied,22,13.799550813775003,41,1.4630063273072136,CCS,Network B,User789,BMW i3
2023-02-24 14:00:00,CP026,Highway,Out of Service,150,37.842490696511774,22,25.4924032197626,Type 2,Network A,User456,Nissan Leaf
2023-05-09 04:00:00,CP044,Suburb,Out of Service,150,40.71519661710973,71,4.628436629478706,Type 2,Network C,User012,BMW i3
2023-03-31 17:00:00,CP064,Highway,Available,150,44.06037311350517,14,26.814957076373897,Type 2,Network C,User456,Chevy Bolt
2023-08-09 22:00:00,CP072,Suburb,Available,150,13.323071001135157,95,13.186011023674203,CHAdeMO,Network B,User123,Tesla Model 3
2023-06-07 17:00:00,CP022,Suburb,Out of Service,50,30.889878003246196,5,5.481513337069531,Type 2,Network A,User123,Tesla Model 3
2023-08-28 12:00:00,CP058,Suburb,Out of Service,50,28.300715693623303,113,7.506861903271773,CHAdeMO,Network C,User012,Chevy Bolt
2023-02-08 04:00:00,CP083,Suburb,Occupied,50,48.69906891982472,100,19.464953690138394,Type 2,Network B,User012,Tesla Model 3
2023-08-03 03:00:00,CP013,Downtown,Occupied,150,5.948868413787045,21,26.26956475169121,Type 2,Network B,User123,BMW i3
2023-03-21 05:00:00,CP006,Downtown,Out of Service,22,19.05141577551491,113,9.350127506791884,CCS,Network C,User345,BMW i3
2023-05-27 17:00:00,CP001,Downtown,Available,22,25.998818368113913,100,12.517303911902085,CHAdeMO,Network A,User012,BMW i3
2023-10-03 03:00:00,CP016,Highway,Out of Service,50,19.266494771775594,114,20.57060932877566,CCS,Network A,User345,Chevy Bolt
2023-05-24 07:00:00,CP052,Downtown,Available,50,3.490487585767882,69,14.396350536240165,CCS,Network C,User012,BMW i3
2023-03-08 15:00:00,CP024,Highway,Out of Service,150,1.583354442640178,83,8.983503217577764,CHAdeMO,Network C,User789,Tesla Model 3
2023-01-08 15:00:00,CP036,Highway,Out of Service,150,29.235180226915713,68,27.067601704856223,Type 2,Network A,User789,BMW i3
2023-05-15 19:00:00,CP092,Downtown,Occupied,150,24.145810809487934,70,17.52188217202032,Type 2,Network C,User123,Tesla Model 3
2023-02-04 12:00:00,CP082,Highway,Occupied,50,43.77239862279178,115,28.16063600567988,CCS,Network C,User012,BMW i3
2023-01-21 15:00:00,CP084,Airport,Occupied,50,40.6122732522513,38,7.09116106391106,CHAdeMO,Network B,User012,Chevy Bolt
2023-03-11 23:00:00,CP099,Highway,Out of Service,22,12.721654503342517,12,6.795051881506056,Type 2,Network C,User012,Chevy Bolt
2023-11-02 10:00:00,CP050,Suburb,Available,22,28.076657302833645,40,6.373614763089256,CHAdeMO,Network C,User345,Chevy Bolt
2023-02-20 13:00:00,CP017,Highway,Out of Service,150,24.272789998127596,113,24.812939976476574,CCS,Network C,User123,Chevy Bolt
2023-06-16 17:00:00,CP021,Highway,Out of Service,50,16.38787980404011,41,15.325170528905627,CCS,Network A,User012,Tesla Model 3
2023-04-28 02:00:00,CP017,Airport,Available,50,39.53874891917624,15,17.28106261932765,CHAdeMO,Network C,User789,Nissan Leaf
2023-05-17 16:00:00,CP044,Airport,Occupied,22,29.914850868139393,106,22.14000968239388,CHAdeMO,Network A,User456,Chevy Bolt
2023-07-16 04:00:00,CP057,Airport,Occupied,50,29.71661413664754,98,19.944992898619123,CHAdeMO,Network B,User456,Chevy Bolt
2023-06-04 18:00:00,CP047,Highway,Occupied,150,24.75295498278382,45,1.621109151323341,CCS,Network A,User123,Nissan Leaf
2023-04-06 20:00:00,CP041,Downtown,Occupied,22,27.458579180589894,36,29.353696197071606,CHAdeMO,Network C,User345,Tesla Model 3
2023-03-01 15:00:00,CP036,Airport,Out of Service,50,48.36639674643463,88,7.738898420967125,CHAdeMO,Network C,User012,Tesla Model 3
2023-10-27 12:00:00,CP070,Highway,Occupied,22,24.87976921329701,79,2.5652585551808493,CCS,Network B,User789,Tesla Model 3
2023-11-07 20:00:00,CP079,Suburb,Available,22,33.44189859151231,38,26.663542817762714,CHAdeMO,Network C,User456,BMW i3
2023-11-03 11:00:00,CP078,Downtown,Available,150,8.596360071352994,76,16.872624634097015,CHAdeMO,Network B,User345,Tesla Model 3
2023-09-10 02:00:00,CP039,Downtown,Out of Service,50,27.246309187238527,85,19.266553959353924,CHAdeMO,Network A,User789,Chevy Bolt
2023-05-19 11:00:00,CP050,Downtown,Out of Service,150,24.047344217024136,86,2.0928053075277484,CHAdeMO,Network B,User789,Tesla Model 3
2023-04-08 20:00:00,CP096,Suburb,Out of Service,50,32.72924659561563,80,15.997514465770518,Type 2,Network C,User012,Tesla Model 3
2023-06-30 11:00:00,CP035,Suburb,Available,22,6.361327310529774,30,22.813615400882167,CCS,Network B,User012,Nissan Leaf
2023-01-20 00:00:00,CP055,Downtown,Available,22,41.032357910836495,74,5.075944751880171,CHAdeMO,Network B,User789,Nissan Leaf
2023-06-04 23:00:00,CP060,Downtown,Out of Service,22,3.2963682130173257,52,27.487464840304767,CCS,Network C,User012,Tesla Model 3
2023-11-01 01:00:00,CP062,Airport,Occupied,150,22.068053386070872,45,28.397815588716682,CCS,Network B,User123,BMW i3
2023-01-01 11:00:00,CP076,Airport,Out of Service,50,23.068085623463013,47,29.84339032453207,CHAdeMO,Network A,User789,Chevy Bolt
2023-12-22 06:00:00,CP049,Suburb,Available,50,30.350157356628817,11,23.101815966301597,Type 2,Network C,User345,Chevy Bolt
2023-12-01 01:00:00,CP031,Highway,Out of Service,150,9.672310529898503,34,13.746010114047367,CHAdeMO,Network A,User123,Chevy Bolt
2023-06-15 06:00:00,CP031,Airport,Occupied,150,10.91179214664657,99,19.509190771421615,CHAdeMO,Network A,User456,BMW i3
2023-12-05 08:00:00,CP045,Airport,Available,22,4.598124443586416,81,5.000994259700726,CCS,Network B,User345,Tesla Model 3
2023-08-11 10:00:00,CP055,Airport,Out of Service,22,35.578749680578916,36,11.898840553176838,CHAdeMO,Network B,User123,Chevy Bolt
2023-08-11 05:00:00,CP059,Highway,Occupied,22,22.589655503999683,55,11.106083418893002,Type 2,Network C,User789,Chevy Bolt
2023-07-07 17:00:00,CP026,Downtown,Available,22,31.836140921745514,86,27.312094002242965,CCS,Network A,User456,Tesla Model 3
2023-03-24 02:00:00,CP048,Downtown,Occupied,50,44.80805459789085,55,1.8537486658012592,Type 2,Network A,User789,Tesla Model 3
2023-07-02 18:00:00,CP041,Suburb,Occupied,22,35.38731576007544,60,17.1191616282582,CCS,Network A,User345,Tesla Model 3
2023-11-11 21:00:00,CP061,Airport,Occupied,22,6.266236114382229,18,8.95019912560355,CHAdeMO,Network B,User123,BMW i3
2023-11-06 03:00:00,CP049,Airport,Available,50,43.78557619864615,70,26.312010322637946,Type 2,Network C,User789,BMW i3
2023-03-04 09:00:00,CP065,Downtown,Out of Service,22,46.252760004992716,12,14.673435637790394,CCS,Network A,User789,BMW i3
2023-12-09 07:00:00,CP006,Highway,Available,22,11.763774892909657,100,23.549788062835034,CHAdeMO,Network B,User456,Nissan Leaf
2023-03-12 06:00:00,CP012,Downtown,Occupied,50,16.692968982066226,117,6.611379029765382,CHAdeMO,Network B,User789,BMW i3
2023-09-07 01:00:00,CP079,Downtown,Occupied,22,2.913937830973029,32,20.592799861719364,CHAdeMO,Network C,User123,BMW i3
2023-05-13 11:00:00,CP076,Suburb,Available,150,49.83439538437456,112,3.3838583053981983,Type 2,Network C,User345,BMW i3
2023-01-18 12:00:00,CP003,Suburb,Out of Service,22,37.93701513460139,52,27.555258151855682,CCS,Network A,User456,Nissan Leaf
2023-09-19 10:00:00,CP005,Highway,Available,50,14.749217130822533,97,3.2848846102429388,CCS,Network B,User012,Chevy Bolt
2023-03-08 19:00:00,CP097,Downtown,Available,50,46.097433928588615,7,27.328577096226223,CHAdeMO,Network C,User789,Nissan Leaf
2023-07-27 20:00:00,CP099,Suburb,Available,22,26.728227741550082,92,3.480773719048776,Type 2,Network B,User345,Chevy Bolt
2023-06-03 17:00:00,CP082,Airport,Out of Service,150,40.28071677460369,104,11.241799732071966,CHAdeMO,Network A,User012,BMW i3
